"","M_DONOR_1","M_DONOR_2","M_DONOR_3","M_DONOR_4","M_DONOR_6","M_DONOR_7","M_DONOR_8","M_DONOR_9"
"1,4-Methanobenzocyclodecene, 1,2,3,4,4a,5,8,9,12,12a-decahydro-",2331079.66666667,0,0,0,0,0,0,0.0030836668
"1,6-Dioxacyclododecane-7,12-dione",0,0,0.0407260826666667,0,0.0037130667,0.00154955,0,0.0016251171
"1,6-Octadien-3-ol, 3,7-dimethyl-, formate",0,0,0.719866682666667,0,0,0,0,0.00821403746666667
"11-Tricosene",0,0,0,0,0,0.0263898966666667,0,0
"12-Methylaminolauric acid",0,0,0,0,0,0,0,0.0050845665
"15-Tetracosenoic acid, methyl ester",826806.333333333,0,0.117048703666667,0,0,0,0,0
"1H-Inden-1-one, 2,3-dihydro-",0,0,0.00986651666666667,0,0,0,0,0
"1H-Indene, 1-ethylidene-",0,0,0,0.0765390812666667,0,0,0,0
"1H-Indene, 2,3-dihydro-1,3-dimethyl-",0,0,0,0,0,0,0,0.00493938306666667
"1H-Indene, 2,3-dihydro-1,6-dimethyl-",0,0,0,0.00430605213333333,0.00585301263333333,0.00210458766666667,0,0
"1H-Indene, 2,3-dihydro-4-methyl-",2511458,0.00849802833333333,0,0,0.0110574582333333,0,0,0.0113185685
"1H-Indene, 2,3-dihydro-4,7-dimethyl-",724630.333333333,0,0,0.00228197376666667,0,0,0,0.00708668566666667
"1H-Pyrazolo[3,4-d]pyrimidin-4-amine",0,0.000521292266666667,0.00514173666666667,0.000926290266666667,0,0,0,0
"1H-Pyrrole, 1-methyl-",0,0,0.0298247206666667,0.00795518096666667,0,0,0,0
"1H-Pyrrole, 2-methyl-",0,0,0,0.0265415298666667,0,0,0,0
"1H,1H,2H,2H-Perfluorooctan-1-ol",0,0.00523654733333333,0,0,0,0,0.00722461266666667,0.00630667573333333
"2-(4-Benzyloxy-3-iodo-5-methoxy-benzylidene)-malononitrile",0,0,0,0,0.510200898766667,0,0,0
"2-Butanone, oxime",0,0,0.0457993226666667,0,0.0020977753,0,0,0
"2-Buten-1-ol",0,0,0,0,0,0,0.001955297,0
"2-Butenal",2476062.33333333,0,0.0995258256666667,0,0,0,0,0
"2-Butenal, 2-ethyl-",0,0.050008484,0,0,0,0,0,0
"2-Butene",0,0,0,0,0.0673771472333333,0,0,0
"2-Butene, 2,3-dimethyl-",0,0,0,0,0.0976003512666667,0,0,0.044022912
"2-Butyl-1-decene",0,0,1.90589445133333,0,0,0,0,0
"2-Butyl-3-(4-β-diethylaminoethoxybenzoyl)benzofuran",602747.666666667,0,0,0,0,0,0,0
"2-Cyclohexen-1-one",1643721.33333333,0.00784352833333333,0.217052693333333,0,0,0,0,0
"2-Cyclopropyl-2-propanol",0,0,0,0,0.0245900954333333,0,0,0
"2-Ethyl-6-phenyl-1,3,4-thiadiazolo(3,2-a)(1,3,5)-triazine-5,7-dione",0,0,0,0,0,0.8566792,0,0
"2-Ethylacrolein",0,0.0640620066666667,0,0.0400117233333333,0,0,0,0
"2-Ethylhexyl acrylate",0,0,1.26938979533333,0.1553854161,0,0,0.0109843153333333,0
"2-Fluoro-3-(trifluoromethyl)phenol",0,0,0,0,0,0.00241930433333333,0,0
"2-Furancarbonitrile",0,0.0018928729,0,0,0,0,0,0
"2-Furancarboxaldehyde, 5-methyl-",0,0.00443575133333333,0,0,0,0,0,0
