"","D1","D2_d0","D2_d1","D2_d2","D2_d3","D2_d4","D3_d0","D3_d2","D3_d3","D3_d4","D4_d0","D4_d1","D4_d3","D6_d0","D6_d1","D6_d2","D6_d3","D6_d4","D6_d5","D7_d0","D7_d1","D7_d2","D7_d4","D7_d5","D8_d0","D8_d1","D8_d2","D8_d3","D8_d4","D8_d5","D9_d0","D9_d1","D9_d2","D9_d3","D9_d4","D9_d5"
"1-Butanamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140303,0,0,0,0,0,1.324396e-05
"1-Butanamine, N,3-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317556,0,0,0,0,0,0,0
"1-Butanol",0,0,0,0,0,0.03366696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446058645333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 2-ethyl-",0,0,0,0,0,0.003878054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007552756,0,0,0,0,0,0,0
"1-Butanol, 2,3-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006861158
"1-Butanol, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536237078333333,0,0,0,0,0,0,0,0,0,0.2293279,0,0,0,0,0,0,0
"1-Butene",0,0.0384258398333333,0,0,0,0.001431405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butene, 3-methyl-",0,0,0,0,0,0.01690504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butene, 3,3-dimethyl-",0,0,0,0,0,0.006316914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Chloroundecane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005582679,0,0,0,0,0,0
"1-Decanol, 2-ethyl-",0.00728572006666667,0,0,0,0,0.001740288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003198679,0,0,0,0,0,0,0
"1-Decene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384318066666667,0,0,0.002542895,0,0.00373815466666667,0,0,0,0,0
"1-Decene, 9-methyl-",0,0,0,0,0,0.00175601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106089,0,0,0,0,0,0
"1-Dodecanamine, N,N-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005420683,0,0,0,0,0,0
"1-Dodecanol",0,0,0,0,0,0.005272003,0,0,0,0,0.0117655599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Dodecanol, 3,7,11-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002334158
"1-Dodecanone, 2-(imidazol-1-yl)-1-(4-methoxyphenyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588401911333333,0,0,0,0,0,0,0.0267391,0,0,0,0,0
"1-Ethanone, 1-[5-methyl-1-[4-(5-methyl-1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazol-3-yl]-1H-1,2,3-triazol-4-yl]-",0,0,0,0,0,0.0003593694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Ethyl-4-methylcyclohexane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002183644
"1-Fluoro-3-(trifluoro-methyl)benzene",0,0,0,0,0,0.001101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Heptadecene",0,0,0,0,0,0.001953362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
